Grupo	Código	Parroquia Base	Región	Código	Provincia	Código	Cantón	Código	Parroquia
31			Costa	08	Esmeraldas	0802	Eloy Alfaro	080260	Selva Alegre
32			Costa	08	Esmeraldas	0805	San Lorenzo	080562	Urbina
32			Costa	08	Esmeraldas	0805	San Lorenzo	080555	5 de Junio (cab. En Uimbi)
33			Costa	08	Esmeraldas	0801	Esmeraldas	080150	Esmeraldas
33			Costa	08	Esmeraldas	0801	Esmeraldas	080168	Vuelta Larga
33									
34			Costa	08	Esmeraldas	0801	Esmeraldas	080152	Camarones(cab. en San Vicente)
34			Costa	08	Esmeraldas	0801	Esmeraldas	080150	Esmeraldas
34			Costa	08	Esmeraldas	0801	Esmeraldas	080166	Tachina
34			Costa	08	Esmeraldas	0801	Esmeraldas	080163	San Mateo
35			Costa	08	Esmeraldas	0807	R¦o Verde	080755	Rocafuerte
35			Costa	08	Esmeraldas	0807	R¦o Verde	080751	Chontaduro
35			Costa	08	Esmeraldas	0807	R¦o Verde	080752	Chumunde
36			Costa	08	Esmeraldas	0806	Atacames	080654	Tonsupa
36			Costa	08	Esmeraldas	0801	Esmeraldas	080168	Vuelta Larga
36			Costa	08	Esmeraldas	0806	Atacames	080650	Atacames
36									
37			Sierra	04	Carchi	0401	Tulc?n	040156	Tobar Donoso (La Bocana de Camumbi)
37			Sierra	04	Carchi	0401	Tulc?n	040159	El Chical
37			Sierra	04	Carchi	0404	Mira	040452	Jijon Y Caama±o (cab. en RÝo Blanco)
37			Sierra	10	Imbabura	1001	Ibarra	100155	Lita
37			Sierra	10	Imbabura	1001	Ibarra	100153	Carolina
38			Costa	08	Esmeraldas	0805	San Lorenzo	080556	Concepci¾n
38			Costa	08	Esmeraldas	0802	Eloy Alfaro	080253	Borbon
38			Costa	08	Esmeraldas	0802	Eloy Alfaro	080262	Colon Eloy de Maria
38			Costa	08	Esmeraldas	0802	Eloy Alfaro	080264	Timbire
38			Costa	08	Esmeraldas	0802	Eloy Alfaro	080260	Selva Alegre
38			Costa	08	Esmeraldas	0802	Eloy Alfaro	080263	San JosÚ de Cayapas
38			Costa	08	Esmeraldas	0802	Eloy Alfaro	080255	Luis Vargas Torres (cab. en Playa de Oro)
38			Costa	08	Esmeraldas	0802	Eloy Alfaro	080252	Atahualpa (cab.en Camarones)
39			Costa	08	Esmeraldas	0801	Esmeraldas	080150	Esmeraldas
39			Costa	08	Esmeraldas	0806	Atacames	080654	Tonsupa
39			Costa	08	Esmeraldas	0801	Esmeraldas	080168	Vuelta Larga
39			Costa	08	Esmeraldas	0801	Esmeraldas	080163	San Mateo
39			Costa	08	Esmeraldas	0801	Esmeraldas	080165	Tabiazo
40			Costa	08	Esmeraldas	0802	Eloy Alfaro	080263	San JosÚ de Cayapas
40			Costa	08	Esmeraldas	0802	Eloy Alfaro	080258	San Francisco de Onzole
40			Costa	08	Esmeraldas	0802	Eloy Alfaro	080252	Atahualpa (cab.en Camarones)
41			Sierra	04	Carchi	0401	Tulc?n	040154	Maldonado
41			Sierra	04	Carchi	0403	Espejo	040351	El Goaltal
41									
42			Costa	08	Esmeraldas	0801	Esmeraldas	080163	San Mateo
42			Costa	08	Esmeraldas	0801	Esmeraldas	080154	Chinca
43			Costa	08	Esmeraldas	0802	Eloy Alfaro	080258	San Francisco de Onzole
43			Costa	08	Esmeraldas	0802	Eloy Alfaro	080259	Santo Domingo de Onzole
44			Costa	08	Esmeraldas	0805	San Lorenzo	080551	Alto Tambo (cab. en Guadual)
44			Costa	08	Esmeraldas	0802	Eloy Alfaro	080255	Luis Vargas Torres (cab. en Playa de Oro)
44			Costa	08	Esmeraldas	0802	Eloy Alfaro	080261	Telembi
45			Costa	08	Esmeraldas	0802	Eloy Alfaro	080260	Selva Alegre
45			Costa	08	Esmeraldas	0802	Eloy Alfaro	080255	Luis Vargas Torres (cab. en Playa de Oro)
45			Costa	08	Esmeraldas	0802	Eloy Alfaro	080252	Atahualpa (cab.en Camarones)
45			Costa	08	Esmeraldas	0802	Eloy Alfaro	080261	Telembi
46			Costa	08	Esmeraldas	0806	Atacames	080654	Tonsupa
46			Costa	08	Esmeraldas	0806	Atacames	080650	Atacames
46			Costa	08	Esmeraldas	0806	Atacames	080651	La Union
47			Costa	08	Esmeraldas	0801	Esmeraldas	080163	San Mateo
47			Costa	08	Esmeraldas	0801	Esmeraldas	080154	Chinca
47			Costa	08	Esmeraldas	0801	Esmeraldas	080159	Majua
48	100155	Lita	Sierra	10	Imbabura	1001	Ibarra	100155	Lita
49			Costa	08	Esmeraldas	0807	R¦o Verde	080754	Montalvo (cab. en Horqueta)
49			Costa	08	Esmeraldas	0807	R¦o Verde	080752	Chumunde
50			Costa	08	Esmeraldas	0806	Atacames	080652	Sua (cab. en La Bocana)
50			Costa	08	Esmeraldas	0806	Atacames	080653	Tonchigue
50			Costa	08	Esmeraldas	0806	Atacames	080651	La Union
51	040351	El Goaltal	Sierra	04	Carchi	0403	Espejo	040351	El Goaltal
52			Costa	08	Esmeraldas	0806	Atacames	080652	Sua (cab. en La Bocana)
52			Costa	08	Esmeraldas	0806	Atacames	080653	Tonchigue
52			Costa	08	Esmeraldas	0803	Muisne	080356	San Francisco
53			Costa	08	Esmeraldas	0806	Atacames	080650	Atacames
53			Costa	08	Esmeraldas	0806	Atacames	080652	Sua (cab. en La Bocana)
53			Costa	08	Esmeraldas	0806	Atacames	080651	La Union
53			Costa	08	Esmeraldas	0801	Esmeraldas	080165	Tabiazo
54			Costa	08	Esmeraldas	0806	Atacames	080654	Tonsupa
54			Costa	08	Esmeraldas	0806	Atacames	080650	Atacames
54			Costa	08	Esmeraldas	0801	Esmeraldas	080165	Tabiazo
54			Costa	08	Esmeraldas	0801	Esmeraldas	080153	Crnel. Carlos Concha Torres (cab. en Huele)
55	080261	Telembi	Costa	08	Esmeraldas	0802	Eloy Alfaro	080261	Telembi
56			Sierra	04	Carchi	0401	Tulc?n	040150	Tulcßn
